🇨🇳 MANDARIN WORD SHEET,,,,,,,,
,,,,,,,,
#,English Word,Mandarin,Pronunciation,,#,English,Swedish,Pronunciation
1,Cat,猫 (māo),mow,,51,Man,男人 (nánrén),nahn-run
2,Dog,狗 (gǒu),go,,52,Woman,女人 (nǚrén),nyoo-run
3,Fish,鱼 (yú),yoo,,53,Baby,婴儿 (yīng'ér),ying-er
4,Bird,鸟 (niǎo),nyow,,54,Doctor,医生 (yīshēng),ee-shung
5,Horse,马 (mǎ),mah,,55,Teacher,老师 (lǎoshī),low-shuh
6,Cow,牛 (niú),nyoh,,56,Student,学生 (xuésheng),shway-shung
7,Pig,猪 (zhū),joo,,57,Police,警察 (jǐngchá),jing-chah
8,Sheep,羊 (yáng),yahng,,58,Chef / Cook,厨师 (chúshī),choo-shuh
9,Elephant,象 (xiàng),shyang,,59,Farmer,农民 (nóngmín),nung-meen
10,Monkey,猴子 (hóuzi),hoh-dzuh,,60,Singer,歌手 (gēshǒu),guh-show
11,Sun,太阳 (tàiyáng),tie-yahng,,61,Car,汽车 (qìchē),chee-chuh
12,Moon,月亮 (yuèliàng),yway-lyahng,,62,Skateboard,滑板 (huábǎn),hua-bahn
13,Star,星星 (xīngxing),shing-shing,,63,Train,火车 (huǒchē),hwaw-chuh
14,Mountain,山 (shān),shahn,,64,Airplane,飞机 (fēijī),fay-jee
15,River,河 (hé),huh,,65,Bicycle,自行车 (zìxíngchē),dzuh-shing-chuh
16,Tree,树 (shù),shoo,,66,Boat,船 (chuán),chwahn
17,Flower,花 (huā),hwah,,67,Bridge,桥 (qiáo),chyow
18,Rain,雨 (yǔ),yoo,,68,Road,路 (lù),loo
19,Snow,雪 (xuě),shway,,69,Hospital,医院 (yīyuàn),ee-ywan
20,Wind,风 (fēng),fung,,70,School,学校 (xuéxiào),shway-shyow
21,Fire,火 (huǒ),hwaw,,71,Hand,手 (shǒu),show
22,Water,水 (shuǐ),shway,,72,Foot,脚 (jiǎo),jyow
23,Earth / Ground,地 (dì),dee,,73,Eye,眼睛 (yǎnjing),yen-jing
24,Cloud,云 (yún),yoon,,74,Ear,耳朵 (ěrduǒ),er-dwaw
25,Lightning,闪电 (shǎndiàn),shahn-dyen,,75,Nose,鼻子 (bízi),bee-dzuh
26,House,房子 (fángzi),fahng-dzuh,,76,Mouth,嘴 (zuǐ),dzway
27,Door,门 (mén),mun,,77,Hair,头发 (tóufa),toh-fah
28,Window,窗户 (chuānghù),chwahng-hoo,,78,Heart,心 (xīn),shin
29,Stairs,楼梯 (lóutī),loh-tee,,79,Leg,腿 (tuǐ),tway
30,Bed,床 (chuáng),chwahng,,80,Arm,手臂 (shǒubì),show-bee
31,Chair,椅子 (yǐzi),ee-dzuh,,81,Running,跑步 (pǎobù),pow-boo
32,Table,桌子 (zhuōzi),jwaw-dzuh,,82,Swimming,游泳 (yóuyǒng),yoh-yung
33,Book,书 (shū),shoo,,83,Sleeping,睡觉 (shuìjiào),shway-jyow
34,Pen,笔 (bǐ),bee,,84,Eating,吃饭 (chīfàn),chuh-fahn
35,Bag,包 (bāo),bow,,85,Drinking,喝水 (hē shuǐ),huh shway
36,Key,钥匙 (yàoshi),yow-shuh,,86,Laughing,笑 (xiào),shyow
37,Clock,钟 (zhōng),jong,,87,Crying,哭 (kū),koo
38,Phone,手机 (shǒujī),show-jee,,88,Dancing,跳舞 (tiàowǔ),tyow-woo
39,Computer,电脑 (diànnǎo),dyen-now,,89,Singing,唱歌 (chànggē),chahng-guh
40,Camera,相机 (xiàngjī),shyang-jee,,90,Thinking,思考 (sīkǎo),suh-cow
41,Apple,苹果 (píngguǒ),ping-gwaw,,91,Big,大 (dà),dah
42,Banana,香蕉 (xiāngjiāo),shyang-jyow,,92,Small,小 (xiǎo),shyow
43,Bread,面包 (miànbāo),myen-bow,,93,Fast,快 (kuài),kwye
44,Rice,米饭 (mǐfàn),mee-fahn,,94,Slow,慢 (màn),mahn
45,Egg,鸡蛋 (jīdàn),jee-dahn,,95,Hot,热 (rè),ruh
46,Meat,肉 (ròu),roh,,96,Cold,冷 (lěng),lung
47,Noodles,面条 (miàntiáo),myen-tyow,,97,Happy,开心 (kāixīn),kye-shin
48,Soup,汤 (tāng),tahng,,98,Sad,难过 (nánguò),nahn-gwaw
49,Tea,茶 (chá),chah,,99,Hungry,饿 (è),uh
50,Milk,牛奶 (niúnǎi),nyoh-nye,,100,Tired,累 (lèi),lay
